"Thématiques","Critères","Accueil","Espace Plaisancier (non connecté)","Mentions légales","Accessibilité","FAQ","Aide",Espace Plaisancier (connecté),Mon tableau de bord,Déclarer l'acquisition,Mes données personnelles,Gérer mon navire - étape 1,Gérer mon navire - étape 2,Gérer mon navire - étape 3
"1","1","nc|!F!L’icône « home » de la navigation n’a pas d’alternative. Il manque un attribut aria-label=”accueil démarches plaisance”","nc|!F!L’icône « home » de la navigation n’a pas d’alternative. Il manque un attribut aria-label=”accueil démarches plaisance”. Les 4 images de la page n'ont pas d'attribut `alt`.","nc|!F!L’icône « home » de la navigation n’a pas d’alternative. Il manque un attribut aria-label=”accueil démarches plaisance”","nc|!F!L’icône « home » de la navigation n’a pas d’alternative. Il manque un attribut aria-label=”accueil démarches plaisance”","nc|!F!L’icône « home » de la navigation n’a pas d’alternative. Il manque un attribut aria-label=”accueil démarches plaisance”","nc|!F!L’icône « home » de la navigation n’a pas d’alternative. Il manque un attribut aria-label=”accueil démarches plaisance”",nc|!F!L’icône « home » de la navigation n’a pas d’alternative. Il manque un attribut aria-label=”accueil démarches plaisance”,nc|!F!L’icône « home » de la navigation n’a pas d’alternative. Il manque un attribut aria-label=”accueil démarches plaisance”,nc|!F!L’icône « home » de la navigation n’a pas d’alternative. Il manque un attribut aria-label=”accueil démarches plaisance”,nc|!F!L’icône « home » de la navigation n’a pas d’alternative. Il manque un attribut aria-label=”accueil démarches plaisance”,nc|!F!L’icône « home » de la navigation n’a pas d’alternative. Il manque un attribut aria-label=”accueil démarches plaisance”,nc|!F!L’icône « home » de la navigation n’a pas d’alternative. Il manque un attribut aria-label=”accueil démarches plaisance”,nc|!F!L’icône « home » de la navigation n’a pas d’alternative. Il manque un attribut aria-label=”accueil démarches plaisance”
"1","2","na","na","na","na","na","na",,,,,,,
"1","3","nc|!F!Le bloc marque devrait avoir un alt=”Ministère de la mer” 
Dans ”Les actus de la mer”, les images doivent avoir un alt=””","nc|!F!Le bloc marque devrait avoir un alt=”Ministère de la mer”, l'image FranceConnect devrait avoir un alt=""S'identifier avec FranceConnect"" ","nc|!F!Le bloc marque devrait avoir un alt=”Ministère de la mer” ","nc|!F!Le bloc marque devrait avoir un alt=”Ministère de la mer” ","nc|!F!Le bloc marque devrait avoir un alt=”Ministère de la mer” ","nc|!F!Le bloc marque devrait avoir un alt=”Ministère de la mer” ",,,,,,,
"1","4","na","na","na","na","na","na",,,,,,,
"1","5","na","na","na","na","na","na",,,,,,,
"1","6","na","na","na","na","na","na",,,,,,,
"1","7","na","na","na","na","na","na",,,,,,,
"1","8","nc|!F!L'image ""home"" du menu pourrait être remplacée par le mot ""Accueil""","nc|!F!L'image ""home"" du menu pourrait être remplacée par le mot ""Accueil""","nc|!F!L'image ""home"" du menu pourrait être remplacée par le mot ""Accueil""","nc|!F!L'image ""home"" du menu pourrait être remplacée par le mot ""Accueil""","nc|!F!L'image ""home"" du menu pourrait être remplacée par le mot ""Accueil""","nc|!F!L'image ""home"" du menu pourrait être remplacée par le mot ""Accueil""",,,,,,,
"1","9","na","na","na","na","na","na",,,,,,,
"2","1","na","na","na","na","na","na",,,,,,,
"2","2","na","na","na","na","na","na",,,,,,,
"3","1","nc|!F!Seule la couleur permet de distinguer les liens dans le texte. Il faut les souligner.","nc|!F!Seule la couleur permet de distinguer les liens dans le texte. Il faut les souligner.","c","nc|!F!Seule la couleur permet de distinguer les liens dans le texte. Il faut les souligner.","nc|!F!Seule la couleur permet de distinguer les liens dans le texte. Il faut les souligner.","nc|!F!Seule la couleur permet de distinguer les liens dans le texte. Il faut les souligner.",,,,,,,
"3","2","nc|!F!Le contraste de la mention ""Publié le 05/01/2022"" n'est pas sufficant","c","c","c","c","c",,,,,,,
"3","3","na","na","na","na","na","na",,,,,,,
"4","1","na","na","na","na","na","na",,,,,,,
"4","2","na","na","na","na","na","na",,,,,,,
"4","3","na","na","na","na","na","na",,,,,,,
"4","4","na","na","na","na","na","na",,,,,,,
"4","5","na","na","na","na","na","na",,,,,,,
"4","6","na","na","na","na","na","na",,,,,,,
"4","7","na","na","na","na","na","na",,,,,,,
"4","8","na","na","na","na","na","na",,,,,,,
"4","9","na","na","na","na","na","na",,,,,,,
"4","10","na","na","na","na","na","na",,,,,,,
"4","11","na","na","na","na","na","na",,,,,,,
"4","12","na","na","na","na","na","na",,,,,,,
"4","13","na","na","na","na","na","na",,,,,,,
"5","1","na","na","na","na","na","na",,,,,,,
"5","2","na","na","na","na","na","na",,,,,,,
"5","3","na","na","na","na","na","na",,,,,,,
"5","4","na","na","na","na","na","na",,,,,,,
"5","5","na","na","na","na","na","na",,,,,,,
"5","6","na","na","na","na","na","na",,,,,,,
"5","7","na","na","na","na","na","na",,,,,,,
"5","8","na","na","na","na","na","na",,,,,,,
"6","1","nc|!F!Le bloc marque a l'attribut `alt=""logo République française""`. Le mieux serait de faire un lien composite avec le nom du service. Ex. https://gouvfr.atlassian.net/wiki/spaces/DB/pages/222789846/En-t+te+-+Header#[hardBreak]En-t%C3%AAte-simple-avec-nom-de-service-et-description","nc|!F!Le bloc marque a l'attribut `alt=""logo République française""`. Le mieux serait de faire un lien composite avec le nom du service. Ex. https://gouvfr.atlassian.net/wiki/spaces/DB/pages/222789846/En-t+te+-+Header#[hardBreak]En-t%C3%AAte-simple-avec-nom-de-service-et-description","nc|!F!Le bloc marque a l'attribut `alt=""logo République française""`. Le mieux serait de faire un lien composite avec le nom du service. Ex. https://gouvfr.atlassian.net/wiki/spaces/DB/pages/222789846/En-t+te+-+Header#[hardBreak]En-t%C3%AAte-simple-avec-nom-de-service-et-description","nc|!F!Le bloc marque a l'attribut `alt=""logo République française""`. Le mieux serait de faire un lien composite avec le nom du service. Ex. https://gouvfr.atlassian.net/wiki/spaces/DB/pages/222789846/En-t+te+-+Header#[hardBreak]En-t%C3%AAte-simple-avec-nom-de-service-et-description","nc|!F!Le bloc marque a l'attribut `alt=""logo République française""`. Le mieux serait de faire un lien composite avec le nom du service. Ex. https://gouvfr.atlassian.net/wiki/spaces/DB/pages/222789846/En-t+te+-+Header#[hardBreak]En-t%C3%AAte-simple-avec-nom-de-service-et-description","nc|!F!Le bloc marque a l'attribut `alt=""logo République française""`. Le mieux serait de faire un lien composite avec le nom du service. Ex. https://gouvfr.atlassian.net/wiki/spaces/DB/pages/222789846/En-t+te+-+Header#[hardBreak]En-t%C3%AAte-simple-avec-nom-de-service-et-description",,,,,,,
"6","2","nc|!F!L'icone ""home"" n'ayant pas d'alternative, le lien n'a pas d'intitulé. voir 1.1.","nc|!F!L'icone ""home"" n'ayant pas d'alternative, le lien n'a pas d'intitulé. voir 1.1.","nc|!F!L'icone ""home"" n'ayant pas d'alternative, le lien n'a pas d'intitulé. voir 1.1.","nc|!F!L'icone ""home"" n'ayant pas d'alternative, le lien n'a pas d'intitulé. voir 1.1.","nc|!F!L'icone ""home"" n'ayant pas d'alternative, le lien n'a pas d'intitulé. voir 1.1.","nc|!F!L'icone ""home"" n'ayant pas d'alternative, le lien n'a pas d'intitulé. voir 1.1.",,,,,,,
"7","1","nc|!M!Chaque actualité s’ouvre dans une fenêtre modale qui ne respecte pas le design pattern aria. Le lien ""Voir plus d'actualités"" pose également problème et n'est pas utilisable au clavier","nc|!M!Le bouton Franceconnect n'est ni un élément bouton et ni un lien (pas d'attribut ""href""... ","na","na","nc|!M!La faq n'est pas utilisable au clavier : les questions ne prennent pas le focus et les définitions ne peuvent pas être pliées ou déplies","na",,,,,,,
"7","2","na","na","na","na","na","na",,,,,,,
"7","3","na","na","na","na","na","na",,,,,,,
"7","4","nc|L'utilisateur n'est pas averti du chargement de nouvelles actualités","na","na","na","nc|!M!La faq utilise les attributs `role=""tab*""` mais ne respecte pas scrupuleusement le [design pattern aria correpondant](https://www.w3.org/TR/wai-aria-practices/#tabpanel). D'ailleurs, un composant [accordéon](https://gouvfr.atlassian.net/wiki/spaces/DB/pages/312082509/Accord+on+-+Accordion) ou collapse serait plus approprié","na",,,,,,,
"7","5","na","na","na","na","na","na",,,,,,,
